Name: Aplite
Type: Rocks
Class: Igneous
Subclass: Felsic
Particle Size: 0-75 micrometers
Sample No.: Aplite.H1
Owner: JHU
Wavelength range: All
Origin: From Boulder County, Colorado via Ward's Scientific (Cat. No. W-
101)
Description: Powder derived from sample: fine-grained to medium-grained 
leucocratic rock composed of quartz, feldspar, micas and opaques.




Measurement: Directional (10 degree) hemispherical reflectance
First Column: X
Second Column: Y
X Units: Wavelength (micrometers)
Y Units: Reflectance (percent)
First X Value: 14.0112
Last X Value: 0.4000
Number of X Values: 2844
Additional information:	see file aplite1a.doc
3.2915	57.133
3.2894	57.054
3.2874	56.982
3.2853	56.917
3.2832	56.813
3.2811	56.746
3.2790	56.673
3.2770	56.559
3.2749	56.456
3.2728	56.407
3.2708	56.341
3.2687	56.263
3.2666	56.193
3.2646	56.075
3.2625	55.962
3.2605	55.901
3.2584	55.796
3.2564	55.666
3.2543	55.562
3.2523	55.501
3.2503	55.423
3.2482	55.341
3.2462	55.211
3.2442	55.134
3.2421	55.060
3.2401	54.939
3.2381	54.784
3.2361	54.683
3.2340	54.619
3.2320	54.519
3.2300	54.416
3.2280	54.255
3.2260	54.127
3.2240	54.089
3.2220	53.993
3.2200	53.872
3.2180	53.772
3.2160	53.636
3.2140	53.522
3.2120	53.412
3.2100	53.296
3.2080	53.221
3.2060	53.093
3.2041	52.936
3.2021	52.802
3.2001	52.698
3.1981	52.599
3.1961	52.476
3.1942	52.356
3.1922	52.264
3.1902	52.200
3.1883	52.069
3.1863	51.911
3.1844	51.761
3.1824	51.680
3.1805	51.648
3.1785	51.533
3.1766	51.403
3.1746	51.280
3.1727	51.196
3.1707	51.122
3.1688	50.991
3.1669	50.876
3.1649	50.778
3.1630	50.687
3.1611	50.627
3.1591	50.485
3.1572	50.392
3.1553	50.302
3.1534	50.211
3.1515	50.101
3.1495	49.969
3.1476	49.868
3.1457	49.800
3.1438	49.719
3.1419	49.647
3.1400	49.514
3.1381	49.396
3.1362	49.285
3.1343	49.173
3.1324	49.110
3.1305	49.068
3.1286	48.995
3.1268	48.873
3.1249	48.769
3.1230	48.681
