Name:  Very dark grayish brown silty loam
Type:  Soils
Class:  Inceptisol
Subclass:  Plaggept
Particle Size:  see additional information
Sample No.:  85P3707
Owner:  JHU
Wavelength range:  All
Origin:  Reelfoot Indian mound.  Obion Co., Tn. via USDA Soil 
Conservation service
Description:  Very dark grayish brown silty loam.





Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P3707a.txt

4.0565	30.3820
4.0533	30.3490
4.0501	30.3361
4.0470	30.2829
4.0438	30.2211
4.0406	30.2150
4.0375	30.2043
4.0344	30.1884
4.0312	30.1757
4.0281	30.1217
4.0250	30.0846
4.0218	30.0697
4.0187	30.0329
4.0156	29.9570
4.0125	29.9694
4.0094	29.9970
4.0063	29.9570
4.0032	29.9169
4.0001	29.8959
3.9970	29.8278
3.9940	29.8046
3.9909	29.8058
3.9878	29.7953
3.9847	29.7795
3.9817	29.7231
3.9786	29.6803
3.9756	29.6803
3.9725	29.6855
3.9695	29.6418
3.9665	29.6220
3.9634	29.6191
3.9604	29.5729
3.9574	29.5055
3.9544	29.4748
3.9513	29.4748
3.9483	29.4570
3.9453	29.4208
3.9423	29.4032
3.9393	29.3937
3.9363	29.3700
3.9333	29.2763
3.9304	29.2301
3.9274	29.2270
3.9244	29.1921
3.9214	29.1562
3.9185	29.1257
3.9155	29.1193
3.9126	29.0798
3.9096	29.0063
3.9067	28.9299
3.9037	28.8910
3.9008	28.8810
3.8979	28.8132
3.8949	28.7646
3.8920	28.7009
3.8891	28.6786
3.8862	28.6506
3.8833	28.6042
3.8804	28.5602
3.8775	28.4802
3.8746	28.3891
3.8717	28.3681
3.8688	28.3373
3.8659	28.2587
3.8630	28.2260
3.8601	28.1755
3.8573	28.1032
3.8544	28.0610
3.8515	28.0409
3.8487	27.9870
3.8458	27.9455
3.8430	27.8879
3.8401	27.7792
3.8373	27.7238
3.8344	27.7004
3.8316	27.6857
3.8288	27.6315
3.8259	27.5829
3.8231	27.5353
3.8203	27.4369
3.8175	27.3928
3.8147	27.3437
3.8119	27.2946
3.8091	27.2419
3.8063	27.1596
3.8035	27.0956
3.8007	27.0207
3.7979	27.0016
