Name:  Black loam
Type:  Soils
Class:  Mollisol
Subclass:  Cryoboroll
Particle Size:  see additional information
Sample No.:  85P4663
Owner:  JHU
Wavelength range:  All
Origin:  Gunnison Co., Co. via USDA Soil Conservation service.

Description: Parent material is local colluvium from igneous andesitic 
material.  Black loam, (fine-loamy, mixed pachic).  
Physiography: hillside or mountainside in mountains or deeply dissected plateaus.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P4663a.txt
	
3.9096	13.8847
3.9067	13.8453
3.9037	13.8050
3.9008	13.7818
3.8979	13.7581
3.8949	13.7531
3.8920	13.7412
3.8891	13.7093
3.8862	13.6661
3.8833	13.6106
3.8804	13.5852
3.8775	13.5732
3.8746	13.5236
3.8717	13.4924
3.8688	13.4653
3.8659	13.4271
3.8630	13.4144
3.8601	13.3801
3.8573	13.3256
3.8544	13.2957
3.8515	13.2721
3.8487	13.2639
3.8458	13.2435
3.8430	13.2141
3.8401	13.1809
3.8373	13.1475
3.8344	13.1029
3.8316	13.0471
3.8288	13.0311
3.8259	13.0047
3.8231	12.9491
3.8203	12.9112
3.8175	12.8928
3.8147	12.8634
3.8119	12.8363
3.8091	12.8059
3.8063	12.7437
3.8035	12.7061
3.8007	12.6762
3.7979	12.6272
3.7951	12.5964
3.7924	12.5676
3.7896	12.5217
3.7868	12.4861
3.7841	12.4611
3.7813	12.4073
3.7785	12.3567
3.7758	12.3318
3.7730	12.3054
3.7703	12.2683
3.7676	12.2408
3.7648	12.1913
3.7621	12.1353
3.7594	12.0997
3.7566	12.0597
3.7539	12.0128
3.7512	11.9619
3.7485	11.9435
3.7458	11.9049
3.7431	11.8647
3.7404	11.8231
3.7377	11.7618
3.7350	11.7262
3.7323	11.6998
3.7296	11.6377
3.7269	11.5993
3.7242	11.5761
3.7216	11.5484
3.7189	11.4998
3.7162	11.4704
3.7136	11.4398
3.7109	11.3947
3.7083	11.3745
3.7056	11.3446
3.7030	11.2809
3.7003	11.2439
3.6977	11.1958
3.6950	11.1532
3.6924	11.1228
3.6898	11.0720
3.6872	11.0122
3.6845	10.9548
3.6819	10.9251
3.6793	10.8945
3.6767	10.8562
3.6741	10.8349
3.6715	10.8134
3.6689	10.7629
3.6663	10.7184
3.6637	10.6856
3.6611	10.6593
3.6585	10.6301
3.6560	10.5531
3.6534	10.4892
3.6508	10.4641
3.6482	10.4461
3.6457	10.4076
3.6431	10.3664
3.6406	10.3285
3.6380	10.2737
3.6355	10.2507
3.6329	10.2193
3.6304	10.1834
3.6278	10.1521
3.6253	10.1217
3.6227	10.0830
3.6202	10.0399
3.6177	10.0093
3.6152	9.9806
3.6127	9.9267
3.6101	9.8626
3.6076	9.8246
3.6051	9.7917
3.6026	9.7506
3.6001	9.7059
3.5976	9.6626
3.5951	9.6207
3.5926	9.5821
3.5901	9.5324
3.5876	9.4834
3.5852	9.4338
3.5827	9.3867
3.5802	9.3456
3.5777	9.3221
3.5753	9.2752
3.5728	9.2202
3.5704	9.1987
3.5679	9.1659
3.5654	9.0976
3.5630	9.0331
3.5605	8.9555
3.5581	8.9034
3.5557	8.8458
3.5532	8.7768
3.5508	8.7101
3.5484	8.6778
3.5459	8.6378
3.5435	8.5737
3.5411	8.5084
3.5387	8.4503
3.5363	8.3803
3.5338	8.3083
3.5314	8.2256
3.5290	8.1493
3.5266	8.0548
3.5242	7.9562
3.5218	7.8564
3.5195	7.7134
3.5171	7.5372
3.5147	7.3391
3.5123	7.1604
3.5099	6.9953
3.5075	6.8434
3.5052	6.7790
3.5028	6.7865
3.5004	6.8262
3.4981	6.8697
3.4957	6.8695
3.4934	6.8740
3.4910	6.8712
3.4887	6.8403
3.4863	6.8257
3.4840	6.8008
3.4816	6.7523
3.4793	6.7289
3.4770	6.7053
3.4746	6.6824
3.4723	6.6432
3.4700	6.5991
3.4677	6.5697
3.4653	6.5211
3.4630	6.4538
3.4607	6.4156
3.4584	6.4180
3.4561	6.3743
3.4538	6.3242
3.4515	6.3000
3.4492	6.2395
3.4469	6.1787
3.4446	6.1203
3.4423	6.0660
3.4400	6.0256
3.4378	5.9391
3.4355	5.8312
3.4332	5.7430
3.4309	5.6256
3.4287	5.4985
3.4264	5.4031
3.4241	5.3555
3.4219	5.3160
3.4196	5.2622
3.4174	5.2555
3.4151	5.2762
3.4129	5.3011
3.4106	5.3141
3.4084	5.3227
3.4061	5.3345
3.4039	5.3597
3.4017	5.3998
3.3994	5.4225
3.3972	5.4571
3.3950	5.4842
3.3928	5.5122
3.3906	5.5452
3.3883	5.5433
3.3861	5.5256
3.3839	5.5040
3.3817	5.4911
3.3795	5.5030
3.3773	5.5224
3.3751	5.5244
3.3729	5.5593
3.3707	5.6000
3.3685	5.5997
3.3663	5.6004
3.3641	5.5892
3.3620	5.5806
3.3598	5.6149
3.3576	5.6645
3.3554	5.6822
3.3533	5.6842
