Name:  Anorthite CaAl2Si2O8
Type:  Mineral (Synthetic)
Class:  Silicates
Subclass:  Tectosilicates (Framework silicates) (Feldspar Group)
Particle Size:  Coarse (75-250 Micrometers)
Sample No.:  anorthite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Bruce Hemingway, USGS; synthesized by James 
Woodhead, Princeton University.
Description: The sample was a coarse white powder.  The sample 
appears pure under the microscope, with very fine 
(cryptocrystalline) texture.



Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  4.4055
Number of X Values:  2287
Additional Information:  anorth1a.txt

4.298634754	8.3354
4.29507325	8.3850
4.291517644	8.4360
4.287967919	8.4770
4.284424062	8.5166
4.280886058	8.5593
4.277353892	8.6047
4.27382755	8.6450
4.270307018	8.6875
4.266792281	8.7275
4.263283325	8.7612
4.259780136	8.7981
4.256282699	8.8313
4.252791	8.8584
4.249306832	8.8933
4.245826565	8.9297
4.242351994	8.9504
4.238883105	8.9702
4.235419885	9.0007
4.231962319	9.0371
4.228510393	9.0620
4.225064094	9.0801
4.221623408	9.1040
4.218188322	9.1316
4.214758821	9.1560
4.211334892	9.1733
4.207916522	9.1931
4.204503696	9.2109
4.201096402	9.2268
4.197694626	9.2429
4.194300114	9.2549
4.190909331	9.2702
4.187524026	9.2932
4.184144186	9.3098
4.180769797	9.3176
4.177400846	9.3288
4.174037321	9.3393
4.170679208	9.3511
4.167326493	9.3659
4.163979165	9.3801
4.16063721	9.3901
4.157300615	9.3972
4.153969367	9.4089
4.150643454	9.4170
4.147322862	9.4172
4.144007579	9.4316
4.140697592	9.4453
4.137392888	9.4443
4.134093455	9.4521
4.130799281	9.4712
4.127510352	9.4775
4.124226656	9.4824
4.120948181	9.4885
4.117674914	9.5012
4.114408535	9.4995
4.111145645	9.5073
4.107887925	9.5281
