Name:  Labradorite (Na,Ca)Al(Al,Si)Si2O8
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework Silicates); (Feldspar Group)
Particle Size:  Solid (Fractured Surface)
Sample No.: labrador.1
Owner:  JHU
Wavelength Range:  IR
Origin: Lake County, Oregon, acquired from the Smithsonian (sample 
no. NMNH 115500) via Dave Stewart, USGS
Description: The sample consisted of a 2 cm x 1 cm x 0.2 cm, 0.536 g 
portion, of a single transparent crystal.  The fragment seemed to 
have been sawn on one side.  A very, very small amount of iron 
oxide stain could be seen on the surface of the fragment and still less 
on the inside.  No impurities were detected under the microscope.

Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  labrad1a.txt

4.539538701	5.7551
4.535567009	5.7539
4.531602261	5.7532
4.527644439	5.7583
4.523693523	5.7556
4.519749497	5.7541
4.515814382	5.7554
4.511884077	5.7527
4.507960608	5.7495
4.504043956	5.7527
4.500134104	5.76
4.496231034	5.7527
4.492334729	5.7488
4.488445171	5.7541
4.484562343	5.7493
4.480686226	5.74
4.476816804	5.7463
4.47295406	5.7527
4.469097975	5.7505
4.465248534	5.7483
4.461405718	5.7493
4.45756951	5.7453
4.453739894	5.7417
4.449916853	5.7471
4.44610037	5.7497
4.442290427	5.748
4.438487009	5.7512
4.434690097	5.7522
4.430899676	5.7512
4.42711573	5.7527
4.423340197	5.7595
4.419569145	5.7563
4.415804518	5.7541
4.412046298	5.7585
4.408294471	5.7595
4.404549018	5.7527
4.400809925	5.7519
4.397077175	5.759
4.393350752	5.7558
4.389630639	5.7541
4.385916821	5.7566
4.382209282	5.7605
4.378508006	5.7654
4.374812977	5.7656
4.371124179	5.7698
4.367441596	5.7654
4.363765214	5.7641
4.360095015	5.7649
4.356430985	5.7634
4.352773108	5.7673
4.349121369	5.7702
4.345475751	5.7607
4.341836241	5.7563
4.338202821	5.7629
4.334577357	5.7646
4.330956072	5.7666
4.327340832	5.7622
4.323731623	5.7627
4.320128429	5.7693
4.316531235	5.7685
4.312940028	5.7668
4.30935479	5.7722
4.305775509	5.7737
4.302202168	5.7702
4.298634754	5.7739
4.29507325	5.7732
4.291517644	5.771
4.287967919	5.7729
4.284424062	5.7722
