Name:  PCA 82507
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  LL6
Particle Size:  0-75 micrometers
Sample No.:  PCA 82507
Owner:  JHU
Wavelength range:  IR
Origin:  Found in Antarctic in 1982.  Smithsonian sample No. PCA 82507.05.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

3.7868	7.7595
3.7841	7.7583
3.7813	7.7558
3.7785	7.7541
3.7758	7.7524
3.7730	7.7507
3.7703	7.7490
3.7676	7.7507
3.7648	7.7512
3.7621	7.7505
3.7594	7.7512
3.7566	7.7517
3.7539	7.7500
3.7512	7.7475
3.7485	7.7468
3.7458	7.7451
3.7431	7.7397
3.7404	7.7358
3.7377	7.7361
3.7350	7.7366
3.7323	7.7363
3.7296	7.7361
3.7269	7.7351
3.7242	7.7326
3.7216	7.7283
3.7189	7.7226
3.7162	7.7204
3.7136	7.7207
3.7109	7.7207
3.7083	7.7209
3.7056	7.7209
3.7030	7.7214
3.7003	7.7187
3.6977	7.7129
3.6950	7.7102
3.6924	7.7082
3.6898	7.7063
3.6872	7.7043
3.6845	7.7041
3.6819	7.7038
3.6793	7.7004
3.6767	7.6977
3.6741	7.6972
3.6715	7.6965
3.6689	7.6958
3.6663	7.6926
3.6637	7.6902
3.6611	7.6897
3.6585	7.6894
3.6560	7.6909
3.6534	7.6929
3.6508	7.6916
3.6482	7.6892
3.6457	7.6882
3.6431	7.6887
3.6406	7.6887
3.6380	7.6880
3.6355	7.6860
3.6329	7.6833
3.6304	7.6780
3.6278	7.6753
3.6253	7.6777
3.6227	7.6794
3.6202	7.6799
3.6177	7.6797
3.6152	7.6780
3.6127	7.6743
3.6101	7.6716
3.6076	7.6728
3.6051	7.6738
3.6026	7.6728
3.6001	7.6726
3.5976	7.6706
3.5951	7.6677
3.5926	7.6636
3.5901	7.6584
3.5876	7.6543
3.5852	7.6513
3.5827	7.6492
3.5802	7.6465
3.5777	7.6423
3.5753	7.6384
3.5728	7.6352
3.5704	7.6313
3.5679	7.6301
3.5654	7.6325
3.5630	7.6330
3.5605	7.6304
3.5581	7.6242
3.5557	7.6177
3.5532	7.6106
3.5508	7.6054
