Name:  Brown gravelly sandy loam
Type:  Soils
Class:  Aridisol
Subclass:  Haplargid
Particle Size:  see additional information
Sample No.:  89P1793
Owner:  JHU
Wavelength range:  All
Origin:  Inyo Co., Ca., (Wild Horse Mesa) via USDA Soil Conservation 
service.
Description:  The parent material is alluvium from fan terrace.  Brown 
gravelly sandy loam, (fine-loamy, mixed, mesic Xerollic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  89P1793a.txt

3.5314	22.4151
3.5290	22.3173
3.5266	22.2152
3.5242	22.1068
3.5218	21.9898
3.5195	21.8638
3.5171	21.7300
3.5147	21.5914
3.5123	21.4524
3.5099	21.3191
3.5075	21.1974
3.5052	21.0918
3.5028	21.0039
3.5004	20.9331
3.4981	20.8765
3.4957	20.8279
3.4934	20.7818
3.4910	20.7335
3.4887	20.6788
3.4863	20.6151
3.4840	20.5428
3.4816	20.4644
3.4793	20.3839
3.4770	20.3051
3.4746	20.2305
3.4723	20.1608
3.4700	20.0938
3.4677	20.0256
3.4653	19.9536
3.4630	19.8762
3.4607	19.7935
3.4584	19.7066
3.4561	19.6159
3.4538	19.5226
3.4515	19.4260
3.4492	19.3258
3.4469	19.2221
3.4446	19.1155
3.4423	19.0064
3.4400	18.8941
3.4378	18.7774
3.4355	18.6545
3.4332	18.5252
3.4309	18.3890
3.4287	18.2486
3.4264	18.1084
3.4241	17.9741
3.4219	17.8509
3.4196	17.7432
3.4174	17.6534
3.4151	17.5817
3.4129	17.5246
3.4106	17.4772
3.4084	17.4349
3.4061	17.3936
3.4039	17.3505
3.4017	17.3053
